question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参加此调查。点击<strong>下一步</strong>开始。	0	1		
instruction	请选择最能代表您对每个项目意见的选项。	0	2		
radio	在工作中保持忙碌而不浪费时间是很重要的。	1	3	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	当我没什么工作可做时，我感到不安。	1	3	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	如果我想买什么东西，我总是等到我能买得起为止。	1	3	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	当我一天都在工作时，我感到满足。	1	3	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	如果我们有更多的闲暇时间，生活会更有意义。	1	3	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	5,4,3,2,1
radio	要真正成功，一个人应该自力更生。	1	3	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	一个人应该总是为自己的行为负责。	1	3	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	我更喜欢一份能让我有更多闲暇时间的工作。	1	3	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	5,4,3,2,1
radio	时间不应该被浪费，应该被高效利用。	1	3	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	即使我经济上可以，我也不会停止工作。	1	3	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	我从必须等待的物品中获得更多的满足感。	1	4	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	我提前安排我的一天以避免浪费时间。	1	4	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	辛苦一天的工作是非常令人满足的。	1	4	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	我能花在休闲活动上的时间越多，我感觉越好。	1	4	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	5,4,3,2,1
radio	一个人应该总是做正确和公正的事。	1	4	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	如果我觉得薪水不够，我会从工作场所拿东西。	1	4	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	5,4,3,2,1
radio	如果你足够努力工作，没有什么是不可能的。	1	4	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	工作时间越少，闲暇时间越多，越好。	1	4	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	5,4,3,2,1
radio	你必须等待的东西是最有价值的。	1	4	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	努力工作是成功的关键。	1	4	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	自力更生是成功的关键。	1	5	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	如果一个人足够努力工作，他很可能为自己创造一个好的生活。	1	5	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	我不断寻找有效利用时间的方法。	1	5	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	努力工作使人变得更好。	1	5	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	在听到所有事实之前，一个人不应该下判断。	1	5	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	如果人们依靠自己，会过得更好。	1	5	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	工作占用了我们太多时间，很少有时间放松。	1	5	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	5,4,3,2,1
radio	一个人应该尽可能独立于他人地过自己的生活。	1	5	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	远期奖励通常比即时奖励更令人满意。	1	5	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	能够一直工作对我来说非常重要。	1	5	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	更多的闲暇时间对人们有好处。	1	6	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	5,4,3,2,1
radio	一个人必须尽可能避免依赖他人。	1	6	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	即使我继承了一大笔钱，我也会继续在某个地方工作。	1	6	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	我不喜欢必须依赖其他人。	1	6	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	通过努力工作，一个人可以克服生活中的每一个障碍。	1	6	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	我努力计划我的工作日以免浪费时间。	1	6	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	你永远不应该说别人的谎话。	1	6	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	任何问题都可以通过努力工作来解决。	1	6	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	一个人如何花费时间和如何花费金钱一样重要。	1	6	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	即使我可以退休，我仍会继续工作。	1	6	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	没有工作的生活会非常无聊。	1	7	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	我宁愿存钱直到买得起某样东西，而不是赊账购买。	1	7	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	如果人们花更多时间放松，世界会变得更美好。	1	7	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	5,4,3,2,1
radio	我努力做到自力更生。	1	7	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	如果你努力工作，你就会成功。	1	7	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	生活中最美好的东西是那些你必须等待的。	1	7	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	任何有能力并愿意努力工作的人都有成功的好机会。	1	7	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	只要不被抓住，偷窃就是可以的。	1	7	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	5,4,3,2,1
radio	能提供最多闲暇时间的工作就是适合我的工作。	1	7	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	5,4,3,2,1
radio	拥有很大程度的独立性对我来说非常重要。	1	7	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	像你希望被对待那样对待别人是很重要的。	1	8	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	我从工作中体验到一种成就感。	1	8	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	一个人应该总是尽力而为。	1	8	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
radio	拿不属于你的东西永远是不合适的。	1	8	非常同意: 1,同意: 2,既不同意也不反对: 3,不同意: 4,非常不同意: 5	1,2,3,4,5
