question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参加此调查。点击<strong>下一步</strong>开始。	0	1		
instruction	请回答以下关于您将完全注意力投入到当下体验倾向的问题。	0	2		
radio	我可能正在经历某种情绪，但直到一段时间后才意识到。	1	3	几乎总是,非常频繁,比较频繁,比较少见,非常少见,几乎从不	1,2,3,4,5,6
radio	我会因为粗心、不付注意或想着其他事情而打破或洒漏东西。	1	3	几乎总是,非常频繁,比较频繁,比较少见,非常少见,几乎从不	1,2,3,4,5,6
radio	我发现很难保持对当下正在发生的事情集中注意力。	1	3	几乎总是,非常频繁,比较频繁,比较少见,非常少见,几乎从不	1,2,3,4,5,6
radio	我倾向于快速行走到目的地，而不注意沿途的体验。	1	3	几乎总是,非常频繁,比较频繁,比较少见,非常少见,几乎从不	1,2,3,4,5,6
radio	我倾向于不注意到身体紧张或不适的感觉，直到它们真正吸引我的注意力。	1	3	几乎总是,非常频繁,比较频繁,比较少见,非常少见,几乎从不	1,2,3,4,5,6
radio	我在第一次听到一个人的名字后几乎立即就忘记了。	1	4	几乎总是,非常频繁,比较频繁,比较少见,非常少见,几乎从不	1,2,3,4,5,6
radio	似乎我在“自动驾驶”状态下，对自己在做什么没有太多意识。	1	4	几乎总是,非常频繁,比较频繁,比较少见,非常少见,几乎从不	1,2,3,4,5,6
radio	我在做事情时匆忙行事，没有真正地专注于它们。	1	4	几乎总是,非常频繁,比较频繁,比较少见,非常少见,几乎从不	1,2,3,4,5,6
radio	我如此专注于我想要实现的目标，以至于失去了对正在做的事情的感知。	1	4	几乎总是,非常频繁,比较频繁,比较少见,非常少见,几乎从不	1,2,3,4,5,6
radio	我自动地做工作或任务，而不意识到自己在做什么。	1	4	几乎总是,非常频繁,比较频繁,比较少见,非常少见,几乎从不	1,2,3,4,5,6
radio	我发现自己在听别人讲话时心不在焉，同时在做其他事情。	1	5	几乎总是,非常频繁,比较频繁,比较少见,非常少见,几乎从不	1,2,3,4,5,6
radio	我在“自动驾驶”状态下开车去地方，然后想知道为什么要去那里。	1	5	几乎总是,非常频繁,比较频繁,比较少见,非常少见,几乎从不	1,2,3,4,5,6
radio	我发现自己专注于未来或过去。	1	5	几乎总是,非常频繁,比较频繁,比较少见,非常少见,几乎从不	1,2,3,4,5,6
radio	我发现自己做事情时不付注意力。	1	5	几乎总是,非常频繁,比较频繁,比较少见,非常少见,几乎从不	1,2,3,4,5,6
radio	我在吃零食时没有意识到自己在吃东西。	1	5	几乎总是,非常频繁,比较频繁,比较少见,非常少见,几乎从不	1,2,3,4,5,6
instruction	恭喜您完成此调查！点击<strong>完成</strong>继续。	0	6		
