question_type	question_text	required	page_number	option_text	option_values
instruction	以下问题是关于您的冥想经历。	0	1		
instruction	请选择最能描述您<em><strong>当前</strong></em>冥想练习的答案。	1	2		6,3,1,.5
radio	我的冥想频率是	1	2	每天或几乎每天,每周2-4次,大约每周一次,每周少于一次	6,3,1,.5
radio	我冥想时，持续时间是	1	2	每天5-15分钟,每天15-30分钟,每天超过30分钟	.12,.33,.67
numeric	您以这种频率和持续时间冥想了多少年？请输入一个数字，例如5、2.5、0.75	1	2		
instruction	如果您曾经练习过不同风格的冥想，或以不同的频率练习，请回答以下问题。如果不适用，请直接点击<strong>下一步</strong>。	0	3		6,3,1,.5
radio	在之前那段时期，我的冥想频率是	0	3	每天或几乎每天,每周2-4次,大约每周一次,每周少于一次	6,3,1,.5
radio	我冥想时，持续时间是	0	3	每天5-15分钟,每天15-30分钟,每天超过30分钟	.12,.33,.67
numeric	您以这种频率和持续时间冥想了多少年？请输入一个数字，例如5、2.5、0.75	0	3		
instruction	如果您曾经参加过冥想静修，请回答以下问题。如果您从未参加过冥想静修，请直接点击<strong>下一步</strong>。	0	4		
numeric	对于您参加过的每次静修，将静修持续的天数乘以您每天大约冥想的小时数。将您为每次静修计算的小时数加在一起，并在下方输入总计。例如，如果您参加过一次九天和一次十天的静修，每天冥想十四小时，您的计算将是9×14+10×14=266。	0	4		
